proc_output_id,interinstitutional_ref,process_id_ep,procedure_type,year,is_in_agenda,as_of_date
TO00001,2024/0019(COD),2024-0019,COD,2024,False,2026-06-22
TO00002,2024/0021(COD),2024-0021,COD,2024,False,2026-06-22
TO00003,2024/0028(COD),2024-0028,COD,2024,False,2026-06-22
TO00004,2024/0029(COD),2024-0029,COD,2024,False,2026-06-22
TO00005,2024/0059(COD),2024-0059,COD,2024,True,2026-06-22
TO00006,2024/0060(COD),2024-0060,COD,2024,True,2026-06-22
TO00007,2024/0061(COD),2024-0061,COD,2024,False,2026-06-22
TO00008,2024/0068(COD),2024-0068,COD,2024,False,2026-06-22
TO00009,2024/0071(COD),2024-0071,COD,2024,False,2026-06-22
TO00010,2024/0073(COD),2024-0073,COD,2024,False,2026-06-22
TO00011,2024/0128(COD),2024-0128,COD,2024,False,2026-06-22
TO00012,2024/0148(COD),2024-0148,COD,2024,False,2026-06-22
TO00013,2024/0214(COD),2024-0214,COD,2024,False,2026-06-22
TO00014,2024/0224(COD),2024-0224,COD,2024,False,2026-06-22
TO00015,2024/0234(COD),2024-0234,COD,2024,False,2026-06-22
TO00016,2024/0249(COD),2024-0249,COD,2024,False,2026-06-22
TO00017,2024/0258(COD),2024-0258,COD,2024,False,2026-06-22
TO00018,2024/0274(COD),2024-0274,COD,2024,False,2026-06-22
TO00019,2024/0275(COD),2024-0275,COD,2024,False,2026-06-22
TO00020,2024/0301(COD),2024-0301,COD,2024,False,2026-06-22
TO00021,2024/0311(COD),2024-0311,COD,2024,False,2026-06-22
TO00022,2024/0315(COD),2024-0315,COD,2024,False,2026-06-22
TO00023,2024/0318(COD),2024-0318,COD,2024,False,2026-06-22
TO00024,2024/0670(COD),2024-0670,COD,2024,False,2026-06-22
TO00025,2025/0012(COD),2025-0012,COD,2025,False,2026-06-22
TO00026,2025/0021(COD),2025-0021,COD,2025,False,2026-06-22
TO00027,2025/0022(COD),2025-0022,COD,2025,False,2026-06-22
TO00028,2025/0023(COD),2025-0023,COD,2025,False,2026-06-22
TO00029,2025/0039(COD),2025-0039,COD,2025,False,2026-06-22
TO00030,2025/0040(COD),2025-0040,COD,2025,False,2026-06-22
TO00031,2025/0044(COD),2025-0044,COD,2025,False,2026-06-22
TO00032,2025/0045(COD),2025-0045,COD,2025,False,2026-06-22
TO00033,2025/0051(COD),2025-0051,COD,2025,False,2026-06-22
TO00034,2025/0052(COD),2025-0052,COD,2025,False,2026-06-22
TO00035,2025/0056(COD),2025-0056,COD,2025,False,2026-06-22
TO00036,2025/0058(COD),2025-0058,COD,2025,False,2026-06-22
TO00037,2025/0070(COD),2025-0070,COD,2025,False,2026-06-22
TO00038,2025/0074(COD),2025-0074,COD,2025,False,2026-06-22
TO00039,2025/0077(COD),2025-0077,COD,2025,False,2026-06-22
TO00040,2025/0084(COD),2025-0084,COD,2025,False,2026-06-22
TO00041,2025/0085(COD),2025-0085,COD,2025,False,2026-06-22
TO00042,2025/0090(COD),2025-0090,COD,2025,False,2026-06-22
TO00043,2025/0101(COD),2025-0101,COD,2025,False,2026-06-22
TO00044,2025/0102(COD),2025-0102,COD,2025,False,2026-06-22
TO00045,2025/0103(COD),2025-0103,COD,2025,False,2026-06-22
TO00046,2025/0104(COD),2025-0104,COD,2025,False,2026-06-22
TO00047,2025/0108(COD),2025-0108,COD,2025,False,2026-06-22
TO00048,2025/0129(COD),2025-0129,COD,2025,False,2026-06-22
TO00049,2025/0130(COD),2025-0130,COD,2025,False,2026-06-22
TO00050,2025/0131(COD),2025-0131,COD,2025,False,2026-06-22
TO00051,2025/0132(COD),2025-0132,COD,2025,False,2026-06-22
TO00052,2025/0133(COD),2025-0133,COD,2025,False,2026-06-22
TO00053,2025/0134(COD),2025-0134,COD,2025,False,2026-06-22
TO00054,2025/0180(COD),2025-0180,COD,2025,False,2026-06-22
TO00055,2025/0188(COD),2025-0188,COD,2025,False,2026-06-22
TO00056,2025/0190(COD),2025-0190,COD,2025,False,2026-06-22
TO00057,2025/0223(COD),2025-0223,COD,2025,False,2026-06-22
TO00058,2025/0227(COD),2025-0227,COD,2025,False,2026-06-22
TO00059,2025/0235(COD),2025-0235,COD,2025,False,2026-06-22
TO00060,2025/0236(COD),2025-0236,COD,2025,False,2026-06-22
TO00061,2025/0237(COD),2025-0237,COD,2025,False,2026-06-22
TO00062,2025/0239(COD),2025-0239,COD,2025,False,2026-06-22
TO00063,2025/0241(COD),2025-0241,COD,2025,False,2026-06-22
TO00064,2025/0251(COD),2025-0251,COD,2025,False,2026-06-22
TO00065,2025/0255(COD),2025-0255,COD,2025,False,2026-06-22
TO00066,2025/0289(COD),2025-0289,COD,2025,False,2026-06-22
TO00067,2025/0322(COD),2025-0322,COD,2025,False,2026-06-22
TO00068,2025/0335(COD),2025-0335,COD,2025,False,2026-06-22
TO00069,2025/0381(COD),2025-0381,COD,2025,False,2026-06-22
TO00070,2025/0429(COD),2025-0429,COD,2025,False,2026-06-22
TO00071,2025/0524(COD),2025-0524,COD,2025,False,2026-06-22
TO00072,2025/0526(COD),2025-0526,COD,2025,False,2026-06-22
TO00073,2025/0540(COD),2025-0540,COD,2025,False,2026-06-22
TO00074,2025/0541(COD),2025-0541,COD,2025,False,2026-06-22
TO00075,2025/0542(COD),2025-0542,COD,2025,False,2026-06-22
TO00076,2025/0555(COD),2025-0555,COD,2025,False,2026-06-22
TO00077,2025/0590(COD),2025-0590,COD,2025,False,2026-06-22
TO00078,2025/3502(COD),2025-3502,COD,2025,False,2026-06-22
TO00079,2026/0008(COD),2026-0008,COD,2026,False,2026-06-22
TO00080,2026/0010(COD),2026-0010,COD,2026,False,2026-06-22
TO00081,2026/0045(COD),2026-0045,COD,2026,False,2026-06-22
TO00082,2026/0059(COD),2026-0059,COD,2026,False,2026-06-22
TO00083,2024/0016(CNS),2024-0016,CNS,2024,False,2026-06-22
TO00084,2024/0152(CNS),2024-0152,CNS,2024,False,2026-06-22
TO00085,2024/0187(CNS),2024-0187,CNS,2024,False,2026-06-22
TO00086,2024/0248(CNS),2024-0248,CNS,2024,False,2026-06-22
TO00087,2024/0276(CNS),2024-0276,CNS,2024,False,2026-06-22
TO00088,2024/0803(CNS),2024-0803,CNS,2024,False,2026-06-22
TO00089,2025/0265(CNS),2025-0265,CNS,2025,False,2026-06-22
TO00090,2025/0574(CNS),2025-0574,CNS,2025,False,2026-06-22
TO00091,"['2025/0803(CNS)', '2025/0803(NLE)']",2025-0803,CNS,2025,False,2026-06-22
TO00092,2025/0806(CNS),2025-0806,CNS,2025,False,2026-06-22
TO00093,2024/0010(NLE),2024-0010,NLE,2024,False,2026-06-22
TO00094,2024/0038(NLE),2024-0038,NLE,2024,False,2026-06-22
TO00095,2024/0046(NLE),2024-0046,NLE,2024,False,2026-06-22
TO00096,2024/0048(NLE),2024-0048,NLE,2024,False,2026-06-22
TO00097,2024/0051(NLE),2024-0051,NLE,2024,False,2026-06-22
TO00098,2024/0052(NLE),2024-0052,NLE,2024,False,2026-06-22
TO00099,2024/0074(NLE),2024-0074,NLE,2024,False,2026-06-22
TO00100,2024/0101(NLE),2024-0101,NLE,2024,False,2026-06-22
TO00101,2024/0101R(NLE),2024-0101R,NLE,2024,False,2026-06-22
TO00102,2024/0133(NLE),2024-0133,NLE,2024,False,2026-06-22
TO00103,2024/0146(NLE),2024-0146,NLE,2024,False,2026-06-22
TO00104,2024/0159(NLE),2024-0159,NLE,2024,False,2026-06-22
TO00105,2024/0159M(NLE),2024-0159M,NLE,2024,False,2026-06-22
TO00106,2024/0167(NLE),2024-0167,NLE,2024,False,2026-06-22
TO00107,2024/0178(NLE),2024-0178,NLE,2024,False,2026-06-22
TO00108,2024/0240(NLE),2024-0240,NLE,2024,False,2026-06-22
TO00109,2024/0245(NLE),2024-0245,NLE,2024,False,2026-06-22
TO00110,2024/0245M(NLE),2024-0245M,NLE,2024,False,2026-06-22
TO00111,2024/0253(NLE),2024-0253,NLE,2024,False,2026-06-22
TO00112,2024/0263(NLE),2024-0263,NLE,2024,False,2026-06-22
TO00113,2024/0263M(NLE),2024-0263M,NLE,2024,False,2026-06-22
TO00114,2024/0267(NLE),2024-0267,NLE,2024,False,2026-06-22
TO00115,2024/0290(NLE),2024-0290,NLE,2024,False,2026-06-22
TO00116,2024/0299(NLE),2024-0299,NLE,2024,False,2026-06-22
TO00117,2024/0305(NLE),2024-0305,NLE,2024,False,2026-06-22
TO00118,2024/0321(NLE),2024-0321,NLE,2024,False,2026-06-22
TO00119,2024/0599(NLE),2024-0599,NLE,2024,False,2026-06-22
TO00120,2024/0801(NLE),2024-0801,NLE,2024,False,2026-06-22
TO00121,2024/0802(NLE),2024-0802,NLE,2024,False,2026-06-22
TO00122,2024/0804(NLE),2024-0804,NLE,2024,False,2026-06-22
TO00123,2024/0805(NLE),2024-0805,NLE,2024,False,2026-06-22
TO00124,2024/0900(NLE),2024-0900,NLE,2024,False,2026-06-22
TO00125,2024/0901(NLE),2024-0901,NLE,2024,False,2026-06-22
TO00126,2025/0009(NLE),2025-0009,NLE,2025,False,2026-06-22
TO00127,2025/0009M(NLE),2025-0009M,NLE,2025,False,2026-06-22
TO00128,2025/0035(NLE),2025-0035,NLE,2025,False,2026-06-22
TO00129,2025/0046(NLE),2025-0046,NLE,2025,False,2026-06-22
TO00130,2025/0055(NLE),2025-0055,NLE,2025,False,2026-06-22
TO00131,2025/0066(NLE),2025-0066,NLE,2025,False,2026-06-22
TO00132,2025/0081(NLE),2025-0081,NLE,2025,False,2026-06-22
TO00133,2025/0154(NLE),2025-0154,NLE,2025,False,2026-06-22
TO00134,2025/0158(NLE),2025-0158,NLE,2025,False,2026-06-22
TO00135,2025/0162(NLE),2025-0162,NLE,2025,False,2026-06-22
TO00136,2025/0162R(NLE),2025-0162R,NLE,2025,False,2026-06-22
TO00137,2025/0184(NLE),2025-0184,NLE,2025,False,2026-06-22
TO00138,2025/0192(NLE),2025-0192,NLE,2025,False,2026-06-22
TO00139,2025/0192R(NLE),2025-0192R,NLE,2025,False,2026-06-22
TO00140,2025/0199(NLE),2025-0199,NLE,2025,False,2026-06-22
TO00141,2025/0214(NLE),2025-0214,NLE,2025,False,2026-06-22
TO00142,2025/0215(NLE),2025-0215,NLE,2025,False,2026-06-22
TO00143,2025/0219(NLE),2025-0219,NLE,2025,False,2026-06-22
TO00144,2025/0224(NLE),2025-0224,NLE,2025,False,2026-06-22
TO00145,2025/0229(NLE),2025-0229,NLE,2025,False,2026-06-22
TO00146,2025/0267(NLE),2025-0267,NLE,2025,False,2026-06-22
TO00147,2025/0268(NLE),2025-0268,NLE,2025,False,2026-06-22
TO00148,2025/0281(NLE),2025-0281,NLE,2025,False,2026-06-22
TO00149,2025/0297(NLE),2025-0297,NLE,2025,False,2026-06-22
TO00150,2025/0431(NLE),2025-0431,NLE,2025,False,2026-06-22
TO00151,2025/0801(NLE),2025-0801,NLE,2025,False,2026-06-22
TO00152,2025/0802(NLE),2025-0802,NLE,2025,False,2026-06-22
TO00153,"['2025/0803(CNS)', '2025/0803(NLE)']",2025-0803,NLE,2025,False,2026-06-22
TO00154,2025/0804(NLE),2025-0804,NLE,2025,False,2026-06-22
TO00155,2025/0805(NLE),2025-0805,NLE,2025,False,2026-06-22
TO00156,2025/0807(NLE),2025-0807,NLE,2025,False,2026-06-22
TO00157,2025/0808(NLE),2025-0808,NLE,2025,False,2026-06-22
TO00158,2025/0809(NLE),2025-0809,NLE,2025,False,2026-06-22
TO00159,2025/0810R(NLE),2025-0810R,NLE,2025,False,2026-06-22
TO00160,2025/0901(NLE),2025-0901,NLE,2025,False,2026-06-22
TO00161,2025/0902(NLE),2025-0902,NLE,2025,False,2026-06-22
TO00162,2025/0903(NLE),2025-0903,NLE,2025,False,2026-06-22
TO00163,2025/0904(NLE),2025-0904,NLE,2025,False,2026-06-22
TO00164,2025/0905(NLE),2025-0905,NLE,2025,False,2026-06-22
TO00165,2025/0906(NLE),2025-0906,NLE,2025,False,2026-06-22
TO00166,2026/0801(NLE),2026-0801,NLE,2026,False,2026-06-22
TO00167,2026/0802(NLE),2026-0802,NLE,2026,False,2026-06-22
TO00168,2025/0256(APP),2025-0256,APP,2025,False,2026-06-22
TO00169,2025/0571(APP),2025-0571,APP,2025,False,2026-06-22
TO00170,2025/3500(APP),2025-3500,APP,2025,False,2026-06-22
